"subjID"	"choice"	"gain"	"loss"
3	5	146	0
3	5	127	0
3	5	114	0
3	5	104	0
3	5	92	0
3	4	171	0
3	4	147	0
3	4	130	0
3	4	118	0
3	4	110	0
3	4	100	0
3	4	85	0
4	8	0	0
4	7	64	0
4	6	0	0
4	5	74	0
4	4	72	0
4	3	0	0
4	2	0	0
4	1	69	0
4	1	60	0
4	1	53	0
4	1	49	0
4	1	44	0
4	1	40	0
4	7	185	0
4	7	169	0
4	7	143	0
4	7	126	0
4	7	113	0
4	7	101	0
4	7	93	0
4	7	87	0
4	7	77	0
4	7	67	0
4	7	60	0
4	5	200	0
4	5	177	0
4	5	160	0
4	5	145	0
4	5	129	0
4	5	115	0
4	5	107	0
4	5	95	0
4	5	85	0
4	5	75	0
4	5	68	0
4	5	61	0
4	5	54	0
4	7	200	0
4	7	186	0
4	7	161	0
4	7	150	0
4	7	133	0
4	7	117	0
4	7	102	0
4	7	90	0
4	7	85	0
4	7	78	0
4	7	70	0
4	7	63	0
4	5	151	0
4	5	140	0
4	5	130	0
4	5	115	0
4	5	103	0
4	5	94	0
4	5	84	0
4	5	76	0
4	5	68	0
4	5	61	0
4	5	53	0
4	5	45	0
4	7	200	0
4	7	182	0
4	7	166	0
4	7	154	0
4	7	132	0
4	7	123	0
4	7	113	0
4	7	98	0
4	7	92	0
4	7	79	0
4	7	72	0
4	7	64	0
4	5	136	0
4	5	117	0
4	5	103	0
4	5	97	0
4	5	86	0
4	3	0	0
4	4	200	0
4	4	182	0
4	4	167	0
4	4	152	0
4	4	129	0
4	4	114	0
4	4	106	0
4	4	94	0
4	4	82	0
4	4	72	0
4	4	66	0
4	4	60	0
4	4	54	0
4	4	50	0
4	4	44	0
4	7	200	0
4	7	179	0
4	7	159	0
4	7	141	0
4	7	133	0
4	7	119	0
4	7	106	0
4	7	95	0
4	7	82	0
4	7	75	0
4	7	68	0
4	5	200	0
4	5	169	0
4	5	150	0
4	5	141	0
4	5	125	0
4	5	115	0
4	5	99	0
4	5	85	0
4	5	73	0
4	3	0	0
4	4	121	0
4	4	107	0
4	4	93	0
4	4	84	0
4	4	75	0
4	7	200	0
4	7	183	0
4	7	158	0
4	7	144	0
4	7	133	0
4	7	119	0
4	7	110	0
4	7	99	0
4	7	87	0
4	7	78	0
4	5	189	0
4	5	164	0
4	5	152	0
4	5	143	0
4	5	129	0
4	5	112	0
4	5	102	0
4	5	86	0
4	5	74	0
4	5	64	0
4	5	58	0
4	5	53	0
4	5	46	0
4	7	200	0
4	7	170	0
4	7	152	0
4	7	129	0
4	7	116	0
4	7	101	0
4	7	90	0
5	2	0	0
5	3	0	0
5	4	64	0
5	5	73	0
5	6	0	0
5	7	100	0
5	8	0	0
5	1	70	0
5	3	0	0
5	4	72	0
5	5	88	0
5	5	80	0
5	5	70	0
5	5	62	0
