subno,epsilon_t1,capacity_t1,w0_t1,beta_wm_t1,epsilon_t2,capacity_t2,w0_t2,beta_wm_t2,epsilon_t3,capacity_t3,w0_t3,beta_wm_t3,epsilon_t4,capacity_t4,w0_t4,beta_wm_t4,epsilon_t5,capacity_t5,w0_t5,beta_wm_t5,epsilon_t6,capacity_t6,w0_t6,beta_wm_t6,epsilon_t7,capacity_t7,w0_t7,beta_wm_t7,epsilon_t8,capacity_t8,w0_t8,beta_wm_t8,epsilon_t9,capacity_t9,w0_t9,beta_wm_t9,epsilon_t10,capacity_t10,w0_t10,beta_wm_t10,epsilon_t11,capacity_t11,w0_t11,beta_wm_t11
41,0.10290667107646254,4.179240797759346,0.8943451708094755,11.895777713469947,0.09998223451329757,4.176694164561379,0.895466033333238,11.772732943602538,0.10473212993823429,4.155321448371154,0.8953370441818432,12.160825716481686,0.10233107149830162,4.17708467178423,0.8951945922958502,11.899234840861086,0.09483704414585058,4.096903423853488,0.8937020406959634,11.827751046332114,0.09692218384401856,4.221578411225736,0.9002041060163977,11.89449490758395,0.10789426570889585,4.156968830351459,0.8909808550457577,11.917423179737101,0.10429413577364273,4.295505168620794,0.895789608472703,11.871547420716732,0.10533988509561856,4.316066543577304,0.9049732426069752,11.746717152405106,0.10053644891513928,4.183164584757523,0.8978845268558094,11.924262156161324,0.10382166904465372,4.189722903636945,0.89910357208725,12.028975481884755
42,0.09331251247735745,4.410836913572228,0.935210209089121,12.045751537728917,0.09862838484558686,4.436776156610791,0.9320998351885008,11.964480936274608,0.08906656967879487,4.394647703455866,0.9304579334325523,12.069749359037516,0.09331069628930294,4.4110923300824965,0.935203866015642,12.047654357971798,0.08796714868476556,4.365389063002074,0.9387424427517644,12.02930440672707,0.08979498845538028,4.403630358496451,0.939969013609223,12.050805647308644,0.09248783231742315,4.4631225351339054,0.9341768440140449,12.014561873948553,0.089836024752432,4.410738131669462,0.9315999658169337,12.139320307173291,0.09945836466389628,4.350383892561,0.9317785577653813,12.011327965876193,0.095707546236609,4.266284375924415,0.9352535815216323,12.105611991893397,0.09168356129266915,4.534951415070177,0.9445268547418609,11.96097855732714
43,0.10013683188181595,4.2636810617297645,0.9381861822571191,12.053281002017926,0.09501183753887014,4.244538137002332,0.9335476142688692,12.050755388971229,0.10191655078517757,4.432574143207331,0.9460916230907807,12.042360498532457,0.1001559015307793,4.264339639157675,0.9381881340234622,12.052524510579282,0.096107315408445,4.246163791206358,0.9445608810549933,12.279155789458397,0.09876581645589613,4.144191285650996,0.933563844462811,11.940311590840434,0.096831221902988,4.367042261332667,0.9394981514593994,12.042653122662996,0.099771494170163,4.133395083097187,0.9467393832789972,12.018431242075208,0.10122834798344742,4.2496132421632895,0.9319422629725639,12.043034661264812,0.10060214404858,4.187368030996397,0.9357913698746056,12.103417621086377,0.10119035430725971,4.203253194321711,0.9349734213839564,12.051118787647729
44,0.10188424554152116,4.417582889214364,0.9668007943256582,12.272442110988752,0.10955688926138042,4.399630347492025,0.9704319121744778,12.284599463442524,0.10008430449481528,4.396629212144874,0.958966833785304,12.175443489623124,0.12857617449094488,4.503049867921914,0.9538226674628439,12.511057595871158,0.11808182249120144,4.448920563916595,0.954125594778241,12.498785156755133,0.12076177533760586,4.58849000745636,0.9561414113973213,12.624335905343097,0.103165838041105,4.60378217150128,0.9642519156773421,12.294516936460598,0.12993877580345814,4.50215904837126,0.9449302580361512,12.369322962690148,0.13063442850478016,4.5274268140876694,0.9565753125940606,12.544691405887578,0.12426968357225,4.447070185764843,0.9586753050638762,12.636570500731068,0.13926560792055986,4.453340700571694,0.9512269318592106,12.547112998679683
45,0.10268361170030565,4.38327760719767,0.918277012853591,11.991268315259155,0.10185323319542672,4.273279606921266,0.9189388403303015,12.074931554642054,0.1072403249767073,4.321488167355382,0.9212637325241192,11.87836428257891,0.10192292783675222,4.387288921341068,0.9183347385801215,12.043034052519888,0.09846071869178215,4.326384300925924,0.9189260400746948,12.252919171675918,0.10376123964207958,4.309915474267548,0.91026976391235,12.083410413088234,0.10361395246456799,4.444670795397256,0.9191899386782992,12.02777272924979,0.10060241108965542,4.349981891627218,0.9188859511420256,12.22709566231694,0.10599748271811142,4.416243579547576,0.917108383150642,12.008984651988543,0.10652425044806228,4.359117436724824,0.9183582066148501,11.892732306754166,0.10468065883279086,4.394572424123544,0.916318065406706,11.96256495344256
46,0.10005784959513117,4.132527083696114,0.9281982015091143,12.006602396809008,0.09303312359791358,4.15764857365597,0.9292634647338601,11.958142034488196,0.10333102331032015,4.121960168831891,0.9293924430921018,11.898890818762622,0.1003977775487658,4.162233763057755,0.9285817686773586,12.021140459681073,0.09957852989532914,4.095631205508677,0.9240487544475207,12.15607164671859,0.10777358212478429,4.047237965339288,0.9233678976775553,12.10284988194598,0.103879806111402,4.137865760998012,0.9273057342763301,12.047204516466536,0.10626191180710086,4.123891848908513,0.93099641057887,11.776876764796187,0.09389263504311572,4.240838637663531,0.9317968924762791,11.862864613711656,0.10357660867460515,4.189362707404966,0.9247440141583086,12.105544623884848,0.10211327310076243,4.18101140966415,0.9278119263602873,11.825350856397781
47,0.13388483934924789,4.175653996387914,0.8597405343524677,11.534870137374362,0.12926532479452058,4.205636928665306,0.8554006246613491,11.527801155973437,0.138057725198278,4.182584152163411,0.8600186071341623,11.653226780083523,0.13467299383235937,4.171041821764401,0.8594409035031056,11.497578525670667,0.13354162875690742,4.049339216375356,0.8616276092512783,11.455901849656973,0.132404316829584,4.23468541673582,0.8555622135653559,11.506940365511074,0.13623389321160315,4.199608879684537,0.8608171149778236,11.539552361479926,0.13607068732936686,4.253331217025161,0.8573823149253647,11.365216038159433,0.133290753683644,3.9397781634106317,0.8627872803405835,11.477577624799883,0.13472307011177484,4.197754094310742,0.851556878460397,11.566679664017586,0.1379788623057627,4.202161194587576,0.8612940193675903,11.650803370648548
48,0.10147929567587581,4.488062004888605,0.9671192681935596,12.113394584685343,0.098092327093529,4.630442798991504,0.9658604177753449,12.102131548983294,0.10199100048105844,4.423154983084628,0.9688827914730405,11.980146872762564,0.10180297114636822,4.48658769952057,0.9670964379853275,12.115443568738215,0.09590556999474499,4.595171642187222,0.9690901986703606,12.193911340091018,0.09945028155102213,4.44452822651141,0.9674889954160122,12.282087592385036,0.10891882945996757,4.554065505685862,0.9698987566784151,12.323785948345508,0.09792579856178028,4.405349348753633,0.9678274253902076,11.967268819447709,0.10248799420591428,4.494280657653857,0.962102730570584,12.162691698446283,0.10383741949944984,4.463821468663505,0.9636091303545212,12.074295666262982,0.104597144018267,4.51242903287388,0.9694358416412536,12.140420843273299
49,0.10931048572076457,4.329655061895459,0.9421200610219196,12.019650875184185,0.10934596657912957,4.267188141713942,0.9463066714126945,11.907001500116191,0.11141186084553172,4.306827598131827,0.9422735322103927,11.926957690282306,0.10873827635074157,4.328351896136982,0.9423822286709422,12.004510783819727,0.10588112640313085,4.479865981681711,0.9397392960085214,12.020851767065277,0.10474753728138629,4.457295218179515,0.9398895992201376,11.929524617771522,0.112564543158545,4.3255878628850155,0.9413684782018504,11.802439238634788,0.10606273751677416,4.269429466123902,0.9432331786169772,11.802631049893865,0.116637894442699,4.359546273951994,0.9425944142498704,11.869639990402755,0.10909462580461729,4.301677369981234,0.9460826608293997,11.796953181512928,0.11104878270719472,4.278139017657397,0.9378301185561293,12.00780555036314
50,0.09884155920203311,4.343212187638478,0.9450876537107253,12.107987906832852,0.09232717216494914,4.3403425593082305,0.9469788120469546,12.157863977190315,0.08794005184236572,4.218106771616092,0.9409683744410106,12.227010214847278,0.09878616261368284,4.344030184085103,0.9449049973257474,12.111692616047232,0.09448714670935929,4.278721274987558,0.9395389655590034,12.00977053576169,0.096241994205271,4.1994395102954245,0.949776398289684,12.078856801952707,0.09866520687727685,4.309461806436112,0.946874967392075,12.225380082541244,0.095627666403502,4.21528753777293,0.9463558412743822,11.96282486601871,0.09743707918800729,4.260245852801068,0.943722916629895,12.114368807240579,0.09943521780641758,4.411913479420764,0.9419055346330928,12.039649800554058,0.09724674774259957,4.315300252481854,0.9425603550340551,12.23981213450006
